file_name,mine_id,mine_name,financial_year,report_id,data_type,rag_ready,sections
GV-DIPKA-OCP-201920-ANNUAL.pdf,GV003,Dipka OCP,201920-ANNUAL,GV-DIPKA-OCP-201920-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-GEVRA-OCP-202425-ANNUAL.pdf,GV001,Gevra OCP,202425-ANNUAL,GV-GEVRA-OCP-202425-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-KUSMUNDA-OCP-201920-ANNUAL.pdf,GV002,Kusmunda OCP,201920-ANNUAL,GV-KUSMUNDA-OCP-201920-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-KUSMUNDA-OCP-202021-ANNUAL.pdf,GV002,Kusmunda OCP,202021-ANNUAL,GV-KUSMUNDA-OCP-202021-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-KUSMUNDA-OCP-202122-ANNUAL.pdf,GV002,Kusmunda OCP,202122-ANNUAL,GV-KUSMUNDA-OCP-202122-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-KUSMUNDA-OCP-202223-ANNUAL.pdf,GV002,Kusmunda OCP,202223-ANNUAL,GV-KUSMUNDA-OCP-202223-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-KUSMUNDA-OCP-202324-ANNUAL.pdf,GV002,Kusmunda OCP,202324-ANNUAL,GV-KUSMUNDA-OCP-202324-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-KUSMUNDA-OCP-202425-ANNUAL.pdf,GV002,Kusmunda OCP,202425-ANNUAL,GV-KUSMUNDA-OCP-202425-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-NIGAHI-OCP-201920-ANNUAL.pdf,GV004,Nigahi OCP,201920-ANNUAL,GV-NIGAHI-OCP-201920-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-NIGAHI-OCP-202021-ANNUAL.pdf,GV004,Nigahi OCP,202021-ANNUAL,GV-NIGAHI-OCP-202021-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-NIGAHI-OCP-202122-ANNUAL.pdf,GV004,Nigahi OCP,202122-ANNUAL,GV-NIGAHI-OCP-202122-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-NIGAHI-OCP-202223-ANNUAL.pdf,GV004,Nigahi OCP,202223-ANNUAL,GV-NIGAHI-OCP-202223-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-NIGAHI-OCP-202324-ANNUAL.pdf,GV004,Nigahi OCP,202324-ANNUAL,GV-NIGAHI-OCP-202324-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-NIGAHI-OCP-202425-ANNUAL.pdf,GV004,Nigahi OCP,202425-ANNUAL,GV-NIGAHI-OCP-202425-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
